0.059,0.178,0.243,0.005,0.004,0.01,0.014,0.019,0.038,0.044,0.205,0.175
0.175,0.059,0.178,0.243,0.005,0.004,0.01,0.014,0.019,0.038,0.044,0.205
0.205,0.175,0.059,0.178,0.243,0.005,0.004,0.01,0.014,0.019,0.038,0.044
0.044,0.205,0.175,0.059,0.178,0.243,0.005,0.004,0.01,0.014,0.019,0.038
0.038,0.044,0.205,0.175,0.059,0.178,0.243,0.005,0.004,0.01,0.014,0.019
0.019,0.038,0.044,0.205,0.175,0.059,0.178,0.243,0.005,0.004,0.01,0.014
0.014,0.019,0.038,0.044,0.205,0.175,0.059,0.178,0.243,0.005,0.004,0.01
0.01,0.014,0.019,0.038,0.044,0.205,0.175,0.059,0.178,0.243,0.005,0.004
0.004,0.01,0.014,0.019,0.038,0.044,0.205,0.175,0.059,0.178,0.243,0.005
0.005,0.004,0.01,0.014,0.019,0.038,0.044,0.205,0.175,0.059,0.178,0.243
0.243,0.005,0.004,0.01,0.014,0.019,0.038,0.044,0.205,0.175,0.059,0.178
0.178,0.243,0.005,0.004,0.01,0.014,0.019,0.038,0.044,0.205,0.175,0.059